Taxa,FFG
Belostomatidae,Predator
Bivalvia,CollectorFilterer
Brachycentridae,CollectorFilterer
Capniidae,Shredder
Chironomidae,CollectorGatherer
Elmidae,CollectorGatherer
Ephemerellidae,CollectorGatherer
Gammaridae,Shredder
Helicopsychidae,Grazer
Heptageniidae,Grazer
Hydrobiidae,Grazer
Hydropsychidae,CollectorFilterer
Leptophlebiidae,CollectorGatherer
Limnephilidae,Shredder
Nemouridae,Shredder
Perlodidae,Predator
Phryganeidae,Shredder
Planorbidae,Grazer
Simuliidae,CollectorFilterer
Taeniopterygidae,Shredder
Tipulidae,Shredder